Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-12-02,1625.3212890625,1627.413079653314,1591.0159006757694,1594.409272553804,5559574
2021-12-03,1613.514404296875,1661.021272060672,1610.7253500623635,1646.5646288836913,6754012
2021-12-06,1576.0946044921875,1612.0268293453883,1572.5617570419945,1608.3546199720072,3991449
2021-12-07,1591.294921875,1603.613244788039,1574.885963372702,1581.4867023872132,4202122
2021-12-08,1630.062744140625,1636.0592789086222,1610.7717854547443,1611.1436820545046,3029169
2021-12-09,1639.4525146484375,1644.9842069614313,1619.5108223058521,1635.3154629368507,2082171
2021-12-10,1635.5477294921875,1639.731310440157,1623.229407812056,1636.2449929835159,1823469
2021-12-13,1621.9744873046875,1646.7970242072429,1616.5358543301843,1642.7994479593688,4040584
2021-12-14,1628.947021484375,1639.0340774827912,1590.0861567823094,1609.1912221953737,4768144
2021-12-15,1612.2591552734375,1625.0423198502958,1600.1732542189532,1622.299795390385,3053149
2021-12-16,1647.0294189453125,1652.6075272371709,1634.385729514481,1638.708786138052,4481031
2021-12-17,1692.81640625,1712.4792608512923,1679.7078743447735,1692.02619693233,18887243
2021-12-20,1672.4097900390625,1700.997593889058,1661.6254704710782,1675.0128390454593,5773891
2021-12-21,1684.2166748046875,1708.760372051666,1674.3620402965455,1674.3620402965455,5353584
2021-12-22,1696.395751953125,1700.5329172657448,1684.914167757732,1696.674702778483,4156428
2021-12-23,1726.9822998046875,1730.7010386558977,1698.5339702903093,1702.4851303197202,4112933
2021-12-24,1732.4676513671875,1743.856290341831,1723.6356456317499,1741.2531274671462,3780347
2021-12-27,1734.93115234375,1742.6939970110222,1715.314827568774,1729.2135686532415,2647733
2021-12-28,1755.2447509765625,1762.589282960339,1746.3198003638931,1748.4580071272835,3340933
2021-12-29,1752.9671630859375,1760.6370624367646,1744.4605247449108,1751.061263913089,3236635
2021-12-30,1759.7537841796875,1775.5120090336297,1742.554616032594,1751.9909390917596,4584738
